Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
Ossonoba? ,https://pleiades.stoa.org/places/256345,http://dare.ht.lu.se/places/16836.html,https://vici.org/vici/3630/,https://topostext.org/place/370000UOss,3.701.535,-7.935.108,
Ostippo,https://pleiades.stoa.org/places/256347,http://dare.ht.lu.se/places/31299.html,https://vici.org/vici/3669/,https://topostext.org/place/373000UOst,37.291.478,-4.878.531,
Ostur ,https://pleiades.stoa.org/places/256349,http://dare.ht.lu.se/places/31300,http://vici.org/vici/15764,,37.387.743,-6.429.457,
Pax Iulia,https://pleiades.stoa.org/places/256358,http://dare.ht.lu.se/places/22246.html,https://vici.org/vici/3654/,https://topostext.org/place/380000UPax,38.015.604,-7.865.225,
Perceiana ,https://pleiades.stoa.org/places/256361,http://dare.ht.lu.se/places/18337,http://vici.org/vici/3660,,38.570.672,-6.397.232,
Praesidium ,https://pleiades.stoa.org/places/256386,http://dare.ht.lu.se/places/22461.html,https://vici.org/vici/15304/,,3.730.244,-7.133.488,
Regina,https://pleiades.stoa.org/places/256397,http://dare.ht.lu.se/places/23124.html,https://vici.org/vici/3672/,,382.032.285,-5.953.548,
Sabetum ,https://pleiades.stoa.org/places/256407,http://dare.ht.lu.se/places/25209,http://vici.org/vici/15731,,37.654.881,-4.824.214,
Sabora,https://pleiades.stoa.org/places/256408,http://dare.ht.lu.se/places/25210.html,https://vici.org/vici/15732/,,36.934.635,-5.024.355,
Sacili Martialium,https://pleiades.stoa.org/places/266017,http://dare.ht.lu.se/places/25139.html,https://vici.org/vici/39118/,https://topostext.org/place/380000USac,38.005.797,-450.716,
Saepo,https://pleiades.stoa.org/places/256411,http://dare.ht.lu.se/places/31308.html,https://vici.org/vici/15767/,,36.579.768,-5.464.318,
Saguntia ,https://pleiades.stoa.org/places/256412,http://dare.ht.lu.se/places/31309.html,https://vici.org/vici/3679/,,36.552.106,-5.834.164,
Salaria/ Iltiraca,https://pleiades.stoa.org/places/266022,http://dare.ht.lu.se/places/25140.html,https://vici.org/vici/16011/,https://topostext.org/place/379000USal,38.008.075,-3.368.532,
Salduba / slatum,https://pleiades.stoa.org/places/256416,http://dare.ht.lu.se/places/22425.html,https://vici.org/vici/3704/,https://topostext.org/place/365000USal,36.463.413,-5.061,
Salpensa,https://pleiades.stoa.org/places/256417,http://dare.ht.lu.se/places/25211.html,https://vici.org/vici/15733/,,37.181.512,-5.781.536,
Saudo ,https://pleiades.stoa.org/places/256437,http://dare.ht.lu.se/places/31313,http://vici.org/vici/3681,https://topostext.org/place/368000USau,36.833.192,-5.813.403,
Searo,http://pleiades.stoa.org/places/256449,http://dare.ht.lu.se/places/25214.html,https://vici.org/vici/15734/,,37.052.397,-5.751.603,
Segida Augurina,https://pleiades.stoa.org/places/256440,http://dare.ht.lu.se/places/22609,http://vici.org/vici/16005,,37.701.667,-5.283.804,
